Comment,Sentiment,Sentiment_Type
pump see learn bootcamp thank advanc alex your one main channel watch work transit data analyt,0.166666667,Positive
thank much alex,0.2,Positive
saw announc linkedin im excit check cours,0,Neutral
excit cant wait get coffe brew tomorrow morn dive bootcamp,0,Neutral
cant wait thank alex,0,Neutral
im edg seat,0,Neutral
best data analyst educ make bootcamp go,1,Positive
awesom alex,0,Neutral
great announc,0.8,Positive
would realli love attend work chanc post channel afterward,0.5,Positive
hey alex time zone air live,0.136363636,Positive
tearfuljoy answer prayer,0,Neutral
hi excit attend bootcamp,0,Neutral
thank lott advanc,0,Neutral
free,0.4,Positive
wow realli thank much alex im student financ want learn data analyst tool think field complement well video help lot greet colombia,0.15,Positive
look forward pleas tri make interact procastin like get push make end,0,Neutral
thank alex start busi analysi cours intend join tuesday pleas advis learn da get good technic skill ba career,0.7,Positive
thank god listen subscrib would miss thank alex,0,Neutral
experi da would great method prepar career also certif,0.8,Positive
announc made day eager get start complet cours follow coupl track still feel bit leagu da thank alex,0,Neutral
great alex thank appreci your great job,0.8,Positive
thank alot alex,0,Neutral
awesom thank much alex,0.2,Positive
hi alex realli help video sinc tri lunch free bootcamp pleas make good structur concis lead job readi market question offer afford student learn thing look structur bootcamp class complet packag exactli requir learn job readi thank,0.55,Positive
found cours also start googl da coursera gon na use video doubt clarif lear sinc start week ago,0,Neutral
video releas youtub channel anyth get access,0,Neutral
hello alex follow quit time know give best content regard data analyt glu seat learn thank commun,1,Positive
wait excit,0,Neutral
excit glad youv gone rout make free video,0.45,Positive
seriou free beginn like join bootcamp detail pleas,0.4,Positive
hello alex laid mani month ago da want next im excit eager learn thank,0,Neutral
pleas becom member,0,Neutral
hey alex realli appreci contribut data world excit join bootcamp,0,Neutral
day event watch record,0,Neutral
hi wont abl make boot camp due work boot camp upload later channel also realli appreci work current studi becom analyst clear lot doubt,-0.00625,Negative
want learn thank much suresh parajuli,0.2,Positive
alex found finish googl data analyt certif done video content help start use sql build differ thing tableau realli appreci time put content dont feel im readi start appli da role yet consid start journey jan feel im close content help tremend thank,0,Neutral
day seem far thank may heaven bless,0.1,Positive
thank alex,0,Neutral
thank god found use channel,0,Neutral
whoa,0,Neutral
thank alex cant wait,0,Neutral
cant wait hit k subscrib milli deserv sir help us grow mani thank,0,Neutral
cant wait powerbi st project immedi fell love,0.5,Positive
februari birthday think bootcamp best gift,1,Positive
folk man play chess almost accid im like video aggreg list youtub video doesnt premier almost week crazi,0,Neutral
cant wait alreadi look work im alway practic skillbuild,0,Neutral
thumbnail clickbait tableau powerbi excel free,0.4,Positive
alex sound awesom free ill feb bell,0.1,Positive
hi alex introduc job search look internship thank resourc provid certainli gon na good,0.7,Positive
thank alex invalu data commun,0,Neutral
sound awesom,0.4,Positive
love content finish cours way explain make secur,0.5,Positive
im realli look forward,0,Neutral
excit cant wait thank alex,0,Neutral
much need,0.2,Positive
readi would taken lot put togeth truli amaz,0,Neutral
hi alex realli appreci content make would like thank video realli chang live includ mine set possibl career path front us lost life,0.136363636,Positive
thank alex awesom,0,Neutral
eager join thank,0,Neutral
saw post linkedin final happen excit,0,Neutral
excit thank much,0.2,Positive
